iter	F1	Logloss
194	0.9942028986	0.1075982302
195	0.9942028986	0.1067368268
196	0.9942028986	0.1062477301
197	0.9942028986	0.1059058443
198	0.9942028986	0.1048010797
199	0.9942028986	0.1041549385
200	0.9942028986	0.1035208496
201	0.9942028986	0.1026314357
202	0.9942028986	0.1018755437
203	0.9942028986	0.1014384107
204	0.9942028986	0.1005809901
205	0.9942028986	0.1000311251
206	0.9942028986	0.09960656238
207	0.9942028986	0.09868726485
208	0.995658466	0.09779507601
209	0.995658466	0.09757173262
210	0.995658466	0.09726470272
211	0.995658466	0.09657474197
212	0.995658466	0.09590558058
213	0.995658466	0.09529926987
214	0.995658466	0.09468230063
215	0.9971098266	0.0941318412
216	0.995658466	0.09351723896
217	0.9971098266	0.09249813689
218	0.9971098266	0.09213625363
219	0.9985569986	0.09157107972
220	0.9985569986	0.09076621345
221	0.9985569986	0.09032367905
222	0.9985569986	0.08984437154
223	0.9985569986	0.08921780693
224	0.9985569986	0.08889993024
225	0.9985569986	0.08802716594
226	0.9985569986	0.0873909049
227	0.9985569986	0.08713616786
228	0.9985569986	0.08659612914
229	0.9985569986	0.08573512292
230	0.9985569986	0.08543667341
231	0.9985569986	0.0850332754
232	0.9985569986	0.08442147167
233	0.9985569986	0.0837234769
234	0.9985569986	0.08319671304
235	0.9985569986	0.08283908756
236	0.9985569986	0.08274322877
237	0.9985569986	0.08227460427
238	0.9985569986	0.08183292266
239	0.9985569986	0.08129958913
240	0.9985569986	0.080897969
241	0.9985569986	0.08040558653
242	0.9985569986	0.08004274968
243	0.9985569986	0.07980353573
244	0.9985569986	0.079503354
245	1	0.07866046295
246	1	0.07827478967
247	1	0.07768969339
248	1	0.07705042848
249	1	0.07662833419
250	1	0.07611094807
251	1	0.07582422039
252	1	0.07546794376
253	1	0.07494579408
254	1	0.07450728698
255	1	0.07393870059
256	1	0.07322453833
257	1	0.07286867531
258	1	0.07259529086
259	1	0.071814375
260	1	0.07161089214
261	1	0.0710685306
262	1	0.07053622222
263	1	0.07030297212
264	1	0.07025785731
265	1	0.06977588247
266	1	0.06946577783
267	1	0.06901187138
268	1	0.06876215789
269	1	0.06828721019
270	1	0.06806464155
271	1	0.06768343009
272	1	0.06710467756
273	1	0.06658262215
274	1	0.06598039279
275	1	0.06577135381
276	1	0.06527147166
277	1	0.06494683688
278	1	0.06463298765
279	1	0.06422964098
280	1	0.06379202167
281	1	0.06343588793
282	1	0.06309826594
283	1	0.06298592124
284	1	0.06251053139
285	1	0.06223264868
286	1	0.06203934332
287	1	0.0618394808
288	1	0.0613859648
289	1	0.06104164114
290	1	0.0608401136
291	1	0.06068538479
292	1	0.06030429999
293	1	0.06020988339
294	1	0.05987085337
295	1	0.0597103921
296	1	0.05960706914
297	1	0.05926743451
298	1	0.05892105185
299	1	0.05868416557
